Time,Task,C,Train_Acc,Test_Acc,F1
2026-03-11 15:43:43,ROOT_PLANT_SPECIES,0.01,0.91718622576487,0.8943039528602995,0.8949074468147032
2026-03-11 15:44:26,Apple,0.001,0.9891891891891892,0.9463722397476341,0.9463769433641714
2026-03-11 15:44:27,Cherry_(including_sour),0.001,1.0,0.9982517482517482,0.9982524250816933
2026-03-11 15:44:27,Corn_(maize),0.0008,0.9829376854599406,0.9057093425605537,0.9053654807147362
2026-03-11 15:44:28,Grape,0.001,0.9676398170946183,0.9171452009844134,0.9168315202421881
2026-03-11 15:44:28,Peach,0.001,0.9978494623655914,0.9673776662484316,0.9682188259434902
2026-03-11 15:44:29,"Pepper,_bell",0.001,0.9919168591224018,0.9327052489905787,0.9328917418719298
2026-03-11 15:44:29,Potato,0.001,0.99800796812749,0.9380804953560371,0.937073099390658
2026-03-11 15:44:29,Strawberry,0.001,0.9990875912408759,0.9744136460554371,0.9745233404319033
2026-03-11 15:44:29,Tomato,0.0005,0.9104782882315922,0.854992657856094,0.8551354054713555
2026-03-11 16:25:32,ROOT_PLANT_SPECIES,0.01,0.91718622576487,0.8943039528602995,0.8949074468147032
2026-03-11 16:25:38,Apple,0.001,0.9891891891891892,0.9463722397476341,0.9463769433641714
2026-03-11 16:25:38,Cherry_(including_sour),0.0005,1.0,0.9982517482517482,0.9982524250816933
2026-03-11 16:25:44,Corn_(maize),0.001,0.9844213649851632,0.907439446366782,0.9072409815623051
2026-03-11 16:25:50,Grape,0.0005,0.9577910657755891,0.9179655455291222,0.9175379683020725
2026-03-11 16:25:52,Peach,0.01,1.0,0.9673776662484316,0.9677096885092779
2026-03-11 16:25:53,"Pepper,_bell",0.001,0.9919168591224018,0.9327052489905787,0.9328917418719298
2026-03-11 16:25:56,Potato,0.001,0.99800796812749,0.9380804953560371,0.937073099390658
2026-03-11 16:25:57,Strawberry,0.001,0.9990875912408759,0.9744136460554371,0.9745233404319033
2026-03-11 16:27:14,Tomato,0.005,0.9369886721208307,0.867474302496329,0.8672674213787906
2026-03-14 18:30:37,ROOT_PLANT_SPECIES,0.01,0.91718622576487,0.8943039528602995,0.8949074468147032
2026-03-14 18:30:43,Apple,0.001,0.9891891891891892,0.9463722397476341,0.9463769433641714
2026-03-14 18:30:43,Cherry_(including_sour),0.0005,1.0,0.9982517482517482,0.9982524250816933
2026-03-14 18:30:49,Corn_(maize),0.001,0.9844213649851632,0.907439446366782,0.9072409815623051
2026-03-14 18:30:56,Grape,0.0005,0.9577910657755891,0.9179655455291222,0.9175379683020725
2026-03-14 18:30:57,Peach,0.01,1.0,0.9673776662484316,0.9677096885092779
2026-03-14 18:30:59,"Pepper,_bell",0.001,0.9919168591224018,0.9327052489905787,0.9328917418719298
2026-03-14 18:31:02,Potato,0.001,0.99800796812749,0.9380804953560371,0.937073099390658
2026-03-14 18:31:03,Strawberry,0.001,0.9990875912408759,0.9744136460554371,0.9745233404319033
2026-03-14 18:32:34,Tomato,0.005,0.9369886721208307,0.867474302496329,0.8672674213787906
2026-03-14 23:15:37,ROOT_PLANT_SPECIES,0.01,0.91718622576487,0.8943039528602995,0.8949074468147032
2026-03-14 23:15:42,Apple,0.001,0.9891891891891892,0.9463722397476341,0.9463769433641714
2026-03-14 23:15:43,Cherry_(including_sour),0.0005,1.0,0.9982517482517482,0.9982524250816933
2026-03-14 23:15:48,Corn_(maize),0.001,0.9844213649851632,0.907439446366782,0.9072409815623051
2026-03-14 23:15:55,Grape,0.0005,0.9577910657755891,0.9179655455291222,0.9175379683020725
2026-03-14 23:15:57,Peach,0.01,1.0,0.9673776662484316,0.9677096885092779
2026-03-14 23:15:58,"Pepper,_bell",0.001,0.9919168591224018,0.9327052489905787,0.9328917418719298
2026-03-14 23:16:01,Potato,0.001,0.99800796812749,0.9380804953560371,0.937073099390658
2026-03-14 23:16:02,Strawberry,0.001,0.9990875912408759,0.9744136460554371,0.9745233404319033
2026-03-14 23:17:33,Tomato,0.005,0.9369886721208307,0.867474302496329,0.8672674213787906
