Time,Task,n_estimators,max_depth,criterion,Accuracy,F1 Score,Train Size,Features
2026-03-09 22:26:26,disease_Pepper_bell,100,30,gini,0.9784656796769852,0.9784158196435496,1732,1864
2026-03-09 22:26:27,disease_Pepper_bell,100,full,gini,0.9784656796769852,0.9784158196435496,1732,1864
2026-03-09 22:26:28,disease_Pepper_bell,200,10,gini,0.9784656796769852,0.9784158196435496,1732,1864
2026-03-09 22:26:30,disease_Pepper_bell,200,20,gini,0.9784656796769852,0.9784158196435496,1732,1864
2026-03-09 22:26:32,disease_Pepper_bell,200,30,gini,0.9784656796769852,0.9784158196435496,1732,1864
2026-03-09 22:26:34,disease_Pepper_bell,200,full,gini,0.9784656796769852,0.9784158196435496,1732,1864
2026-03-09 22:26:37,disease_Pepper_bell,300,10,gini,0.9825033647375505,0.9824681693582215,1732,1864
2026-03-09 22:26:40,disease_Pepper_bell,300,20,gini,0.9798115746971736,0.9797586134824289,1732,1864
2026-03-09 22:26:43,disease_Pepper_bell,300,30,gini,0.9798115746971736,0.9797586134824289,1732,1864
2026-03-09 22:26:46,disease_Pepper_bell,300,full,gini,0.9798115746971736,0.9797586134824289,1732,1864
2026-03-09 22:26:46,disease_Potato,50,10,gini,0.955108359133127,0.9548182128330425,1506,1864
2026-03-09 22:26:47,disease_Potato,50,20,gini,0.955108359133127,0.954710574519653,1506,1864
2026-03-09 22:26:47,disease_Potato,50,30,gini,0.955108359133127,0.954710574519653,1506,1864
2026-03-09 22:26:48,disease_Potato,50,full,gini,0.955108359133127,0.954710574519653,1506,1864
2026-03-09 22:26:49,disease_Potato,100,10,gini,0.9613003095975232,0.9609290067069512,1506,1864
2026-03-09 22:26:50,disease_Potato,100,20,gini,0.9643962848297214,0.9639656794534709,1506,1864
2026-03-09 22:26:51,disease_Potato,100,30,gini,0.9643962848297214,0.9639656794534709,1506,1864
2026-03-09 22:26:51,disease_Potato,100,full,gini,0.9643962848297214,0.9639656794534709,1506,1864
2026-03-09 22:26:53,disease_Potato,200,10,gini,0.9613003095975232,0.9608384317441797,1506,1864
2026-03-09 22:26:55,disease_Potato,200,20,gini,0.9566563467492261,0.9560787865930204,1506,1864
2026-03-09 22:26:56,disease_Potato,200,30,gini,0.9566563467492261,0.9560787865930204,1506,1864
2026-03-09 22:26:58,disease_Potato,200,full,gini,0.9566563467492261,0.9560787865930204,1506,1864
2026-03-09 22:27:00,disease_Potato,300,10,gini,0.9613003095975232,0.960691582643897,1506,1864
2026-03-09 22:27:03,disease_Potato,300,20,gini,0.9597523219814241,0.9591612025447742,1506,1864
2026-03-09 22:27:05,disease_Potato,300,30,gini,0.9597523219814241,0.9591612025447742,1506,1864
2026-03-09 22:27:08,disease_Potato,300,full,gini,0.9597523219814241,0.9591612025447742,1506,1864
2026-03-09 22:27:08,disease_Strawberry,50,10,gini,0.9914893617021276,0.9914708130672322,1095,1864
2026-03-09 22:27:09,disease_Strawberry,50,20,gini,0.9914893617021276,0.9914708130672322,1095,1864
2026-03-09 22:27:09,disease_Strawberry,50,30,gini,0.9914893617021276,0.9914708130672322,1095,1864
2026-03-09 22:27:09,disease_Strawberry,50,full,gini,0.9914893617021276,0.9914708130672322,1095,1864
2026-03-09 22:27:10,disease_Strawberry,100,10,gini,0.9893617021276596,0.9893266712459129,1095,1864
2026-03-09 22:27:11,disease_Strawberry,100,20,gini,0.9893617021276596,0.9893266712459129,1095,1864
